Nodes: 20 Edges: 110
FromNodeId ToNodeId
1 2
1 3
1 4
1 5
1 5
1 5
1 2
1 3
1 6
1 7
1 8
1 7
1 8
1 7
1 8
1 7
1 8
1 7
1 8
1 7
1 8
1 7
1 8
1 7
1 8
1 7
1 8
1 7
1 8
1 7
1 8
1 7
1 8
1 7
1 8
1 7
1 8
1 5
1 7
1 8
1 7
1 8
1 7
1 8
1 7
1 8
1 7
1 8
1 7
1 8
1 7
1 8
1 7
1 8
1 7
1 8
1 7
1 8
1 7
1 8
1 7
1 8
1 7
1 8
1 7
1 8
1 7
1 8
1 7
1 8
1 7
1 8
1 7
1 8
1 7
1 8
1 7
1 8
1 7
1 8
1 2
1 7
1 8
1 7
1 8
1 7
1 8
1 7
1 8
9 10
3 4
3 10
6 4
6 11
6 12
9 10
9 10
13 8
14 15
15 8
10 9
10 9
16 17
18 14
18 5
18 16
18 19
1 9
1 10
20 14
